,Student_ID,Name,Age,Gender,Location,Enrolment_Date
0,S001,Student_1,24,Female,Kolkata,2023-11-24
1,S002,Student_2,32,Other,Chennai,2023-02-27
2,S003,Student_3,28,Other,Mumbai,2023-01-13
3,S004,Student_4,25,Female,Bangalore,2023-05-21
4,S005,Student_5,24,Other,Delhi,2023-05-06
5,S006,Student_6,28,Other,Delhi,2023-04-25
6,S007,Student_7,28,Male,Chennai,2023-03-13
7,S008,Student_8,21,Other,Bangalore,2023-02-22
8,S009,Student_9,25,Other,Kolkata,2023-12-13
9,S010,Student_10,20,Female,Bangalore,2023-10-07
10,S011,Student_11,19,Female,Chennai,2023-02-14
11,S012,Student_12,29,Male,Chennai,2023-10-30
12,S013,Student_13,23,Other,Bangalore,2023-08-05
13,S014,Student_14,19,Other,Chennai,2023-01-17
14,S015,Student_15,18,Other,Bangalore,2023-01-16
15,S016,Student_16,29,Male,Mumbai,2023-02-17
16,S017,Student_17,29,Male,Bangalore,2023-04-22
17,S018,Student_18,34,Female,Bangalore,2023-04-30
18,S019,Student_19,27,Male,Chennai,2023-09-16
19,S020,Student_20,33,Other,Chennai,2023-11-05
20,S021,Student_21,32,Other,Delhi,2023-01-14
21,S022,Student_22,32,Male,Delhi,2023-10-15
22,S023,Student_23,29,Other,Mumbai,2023-04-12
23,S024,Student_24,20,Other,Delhi,2023-11-29
24,S025,Student_25,22,Male,Bangalore,2023-12-26
25,S026,Student_26,24,Male,Chennai,2023-10-07
26,S027,Student_27,26,Other,Delhi,2023-08-03
27,S028,Student_28,24,Other,Delhi,2023-04-23
28,S029,Student_29,21,Other,Mumbai,2023-08-18
29,S030,Student_30,31,Female,Mumbai,2023-10-29
30,S031,Student_31,26,Female,Bangalore,2023-05-23
31,S032,Student_32,19,Female,Chennai,2023-01-04
32,S033,Student_33,32,Male,Mumbai,2023-03-23
33,S034,Student_34,24,Female,Delhi,2023-12-24
34,S035,Student_35,29,Male,Chennai,2023-08-05
35,S036,Student_36,25,Male,Chennai,2023-06-24
36,S037,Student_37,32,Female,Delhi,2023-05-23
37,S038,Student_38,20,Female,Mumbai,2023-03-21
38,S039,Student_39,31,Female,Delhi,2023-04-21
39,S040,Student_40,34,Other,Chennai,2023-06-22
40,S041,Student_41,21,Female,Kolkata,2023-02-22
41,S042,Student_42,25,Other,Kolkata,2023-02-17
42,S043,Student_43,21,Male,Bangalore,2023-07-14
43,S044,Student_44,19,Other,Delhi,2023-02-19
44,S045,Student_45,23,Female,Delhi,2023-07-03
45,S046,Student_46,27,Male,Bangalore,2023-06-26
46,S047,Student_47,21,Male,Bangalore,2023-11-06
47,S048,Student_48,29,Male,Bangalore,2023-05-16
48,S049,Student_49,19,Other,Chennai,2023-01-23
49,S050,Student_50,27,Female,Delhi,2023-08-24
50,S051,Student_51,21,Male,Chennai,2023-10-02
51,S052,Student_52,31,Male,Bangalore,2023-03-05
52,S053,Student_53,33,Male,Delhi,2023-07-13
53,S054,Student_54,32,Other,Chennai,2023-02-10
54,S055,Student_55,25,Other,Chennai,2023-10-10
55,S056,Student_56,31,Female,Bangalore,2023-05-31
56,S057,Student_57,25,Other,Delhi,2023-11-18
57,S058,Student_58,33,Male,Bangalore,2023-11-13
58,S059,Student_59,30,Female,Delhi,2023-07-05
59,S060,Student_60,32,Male,Kolkata,2023-10-23
60,S061,Student_61,30,Male,Mumbai,2023-04-09
61,S062,Student_62,26,Other,Mumbai,2023-12-27
62,S063,Student_63,32,Female,Mumbai,2023-02-05
63,S064,Student_64,30,Other,Bangalore,2023-01-24
64,S065,Student_65,18,Other,Kolkata,2023-12-05
65,S066,Student_66,24,Female,Delhi,2023-04-27
66,S067,Student_67,26,Male,Chennai,2023-05-29
67,S068,Student_68,18,Male,Delhi,2023-02-10
68,S069,Student_69,29,Female,Chennai,2023-04-30
69,S070,Student_70,25,Male,Delhi,2023-02-21
70,S071,Student_71,28,Female,Kolkata,2023-07-14
71,S072,Student_72,34,Female,Chennai,2023-05-23
72,S073,Student_73,25,Other,Bangalore,2023-08-21
73,S074,Student_74,20,Female,Delhi,2023-11-22
74,S075,Student_75,20,Other,Delhi,2023-07-06
75,S076,Student_76,18,Male,Chennai,2023-03-25
76,S077,Student_77,22,Male,Bangalore,2023-07-09
77,S078,Student_78,27,Male,Bangalore,2023-07-01
78,S079,Student_79,24,Male,Kolkata,2023-04-18
79,S080,Student_80,26,Other,Bangalore,2023-12-10
80,S081,Student_81,24,Male,Bangalore,2023-05-17
81,S082,Student_82,26,Female,Bangalore,2023-12-26
82,S083,Student_83,25,Female,Mumbai,2023-12-16
83,S084,Student_84,29,Female,Kolkata,2023-11-28
84,S085,Student_85,19,Other,Delhi,2023-02-06
85,S086,Student_86,18,Male,Chennai,2023-11-08
86,S087,Student_87,33,Male,Delhi,2023-11-22
87,S088,Student_88,22,Male,Kolkata,2023-03-29
88,S089,Student_89,20,Other,Chennai,2023-10-01
89,S090,Student_90,29,Female,Kolkata,2023-05-06
90,S091,Student_91,25,Female,Bangalore,2023-03-25
91,S092,Student_92,20,Male,Chennai,2023-08-25
92,S093,Student_93,18,Female,Bangalore,2023-07-14
93,S094,Student_94,20,Female,Delhi,2023-05-19
94,S095,Student_95,22,Other,Delhi,2023-11-24
95,S096,Student_96,32,Other,Chennai,2023-12-19
96,S097,Student_97,31,Other,Chennai,2023-10-13
97,S098,Student_98,20,Other,Kolkata,2023-04-23
98,S099,Student_99,18,Male,Kolkata,2023-12-17
99,S100,Student_100,22,Other,Bangalore,2023-06-16
